gene,gene_name,fold_seed42,fold_seed43,fold_seed44
ENSG00000107897,ACBD5,4,1,4
ENSG00000230124,ACBD6,4,1,0
ENSG00000110455,ACCS,1,4,0
ENSG00000102977,ACD,4,2,2
ENSG00000159640,ACE,3,3,2
ENSG00000167769,ACER1,3,2,4
ENSG00000177076,ACER2,0,3,4
ENSG00000078124,ACER3,2,3,3
ENSG00000100813,ACIN1,0,4,3
ENSG00000144476,ACKR3,0,4,3
ENSG00000131473,ACLY,3,0,0
ENSG00000122729,ACO1,1,1,2
ENSG00000100412,ACO2,3,1,2
ENSG00000112304,ACOT13,4,0,1
ENSG00000119673,ACOT2,4,1,3
ENSG00000177465,ACOT4,4,4,2
ENSG00000097021,ACOT7,0,2,2
ENSG00000101473,ACOT8,1,1,4
ENSG00000123130,ACOT9,0,2,1
ENSG00000161533,ACOX1,2,2,3
ENSG00000087008,ACOX3,0,1,0
ENSG00000143727,ACP1,2,4,2
ENSG00000134575,ACP2,0,4,2
ENSG00000102575,ACP5,2,1,1
ENSG00000162836,ACP6,3,4,1
ENSG00000111644,ACRBP,4,2,2
ENSG00000167107,ACSF2,0,4,3
ENSG00000176715,ACSF3,4,4,2
ENSG00000151726,ACSL1,4,2,2
ENSG00000123983,ACSL3,3,4,1
ENSG00000068366,ACSL4,1,2,3
ENSG00000197142,ACSL5,0,1,0
ENSG00000164398,ACSL6,1,0,1
ENSG00000005187,ACSM3,2,0,3
ENSG00000154930,ACSS1,2,2,2
ENSG00000131069,ACSS2,2,1,3
ENSG00000107796,ACTA2,3,1,0
ENSG00000075624,ACTB,2,0,2
ENSG00000184009,ACTG1,0,1,3
ENSG00000072110,ACTN1,3,3,4
ENSG00000130402,ACTN4,3,1,0
ENSG00000138107,ACTR1A,3,3,4
ENSG00000115073,ACTR1B,3,0,4
ENSG00000138071,ACTR2,3,1,2
ENSG00000115091,ACTR3,0,0,0
ENSG00000133627,ACTR3B,3,2,1
ENSG00000106526,ACTR3C,4,2,4
ENSG00000101442,ACTR5,3,3,2
ENSG00000113812,ACTR8,2,1,0
ENSG00000115170,ACVR1,4,0,0
ENSG00000135503,ACVR1B,1,3,3
ENSG00000123612,ACVR1C,0,2,2
ENSG00000121989,ACVR2A,0,0,2
ENSG00000114739,ACVR2B,1,1,4
ENSG00000243989,ACY1,3,3,0
ENSG00000119640,ACYP1,3,2,1
ENSG00000170634,ACYP2,0,4,1
ENSG00000196839,ADA,0,2,3
ENSG00000093072,ADA2,4,4,3
ENSG00000168803,MAPDA,4,2,3
ENSG00000137845,ADAM10,3,0,1
ENSG00000148848,ADAM12,3,2,3
ENSG00000143537,ADAM15,0,0,1
ENSG00000151694,ADAM17,0,3,4
ENSG00000135074,ADAM19,3,2,4
ENSG00000008277,ADAM22,4,1,0
ENSG00000114948,ADAM23,4,0,1
ENSG00000042980,ADAM28,4,4,1
ENSG00000151651,ADAM8,4,4,1
ENSG00000168615,ADAM9,2,1,0
ENSG00000154734,ADAMTS1,3,2,2
ENSG00000142303,ADAMTS10,1,4,4
ENSG00000140470,ADAMTS17,3,3,0
ENSG00000049192,ADAMTS6,3,3,3
ENSG00000185761,ADAMTSL5,4,0,2
ENSG00000105963,ADAP1,1,3,0
ENSG00000160710,ADAR,0,1,4
ENSG00000197381,ADARB1,2,4,3
ENSG00000185736,ADARB2,4,2,0
ENSG00000065457,ADAT1,2,4,1
ENSG00000189007,ADAT2,0,4,4
ENSG00000213638,ADAT3,0,4,1
ENSG00000063761,ADCK1,4,1,3
ENSG00000133597,ADCK2,3,0,3
ENSG00000173137,ADCK5,4,2,4
ENSG00000164742,ADCY1,0,3,0
ENSG00000138031,ADCY3,3,3,0
ENSG00000129467,ADCY4,1,2,2
ENSG00000121281,ADCY7,2,3,4
ENSG00000162104,ADCY9,4,2,4
ENSG00000087274,ADD1,4,0,3
ENSG00000075340,ADD2,1,2,2
ENSG00000148700,ADD3,2,3,4
ENSG00000152990,ADGRA3,3,1,0
ENSG00000121753,ADGRB2,1,2,4
ENSG00000127507,ADGRE2,1,1,1
ENSG00000123146,ADGRE5,1,3,3
ENSG00000205336,ADGRG1,2,2,4
ENSG00000159618,ADGRG5,1,4,1
ENSG00000072071,ADGRL1,2,2,3
ENSG00000164199,ADGRV1,3,2,1
ENSG00000196616,ADH1B,1,4,0
ENSG00000197894,ADH5,1,1,1
ENSG00000147576,ADHFE1,0,1,1
ENSG00000182551,ADI1,3,2,0
ENSG00000159346,ADIPOR1,4,3,4
ENSG00000006831,ADIPOR2,0,4,3
ENSG00000148671,ADIRF,1,2,3
ENSG00000156110,ADK,4,1,2
ENSG00000148926,ADM,1,3,0
ENSG00000224420,ADM5,4,4,2
ENSG00000101126,ADNP,3,2,0
ENSG00000101544,ADNP2,0,3,2
ENSG00000181915,ADO,2,4,0
ENSG00000128271,ADORA2A,1,2,1
ENSG00000170425,ADORA2B,3,4,2
ENSG00000159322,ADPGK,1,0,2
ENSG00000144843,ADPRH,3,1,0
ENSG00000116863,ADPRS,0,2,4
ENSG00000170222,ADPRM,4,2,3
ENSG00000169252,ADRB2,2,1,3
ENSG00000130706,ADRM1,3,3,3
ENSG00000035687,ADSS2,0,3,0
ENSG00000111863,ADTRP,1,1,3
ENSG00000106624,AEBP1,2,1,2
ENSG00000139154,AEBP2,1,1,1
ENSG00000181026,AEN,4,0,2
ENSG00000104964,TLE5,1,3,2
ENSG00000196526,AFAP1,0,1,1
ENSG00000169129,AFAP1L2,2,4,0
ENSG00000130396,AFDN,4,0,0
ENSG00000172493,AFF1,0,0,0
ENSG00000155966,AFF2,1,1,2
ENSG00000144218,AFF3,3,4,0
ENSG00000072364,AFF4,3,4,3
ENSG00000141385,AFG3L2,2,2,2
ENSG00000183077,AFMID,1,1,1
ENSG00000119844,AFTPH,0,1,4
ENSG00000038002,AGA,3,3,3
ENSG00000157985,AGAP1,2,0,2
ENSG00000135439,AGAP2,2,4,3
ENSG00000133612,AGAP3,3,0,4
ENSG00000188234,AGAP4,0,3,0
ENSG00000172650,AGAP5,2,1,3
ENSG00000204149,AGAP6,0,3,2
ENSG00000204172,AGAP9,3,0,1
ENSG00000165923,AGBL2,1,1,0
ENSG00000084693,AGBL5,2,1,1
ENSG00000204305,AGER,0,2,1
ENSG00000173744,AGFG1,4,3,0
ENSG00000106351,AGFG2,4,3,4
ENSG00000164252,AGGF1,4,3,0
ENSG00000006530,AGK,4,3,2
ENSG00000162688,AGL,2,0,0
ENSG00000116771,AGMAT,2,2,4
ENSG00000092847,AGO1,0,3,3
ENSG00000123908,AGO2,2,0,4
ENSG00000126070,AGO3,4,2,1
ENSG00000134698,AGO4,2,2,3
ENSG00000204310,AGPAT1,0,4,0
ENSG00000169692,AGPAT2,3,2,0
ENSG00000160216,AGPAT3,4,4,1
ENSG00000026652,AGPAT4,4,4,2
ENSG00000155189,AGPAT5,0,3,3
ENSG00000018510,AGPS,3,4,1
ENSG00000106541,AGR2,4,2,0
ENSG00000173467,AGR3,1,4,1
ENSG00000188157,AGRN,4,1,1
ENSG00000135049,AGTPBP1,2,4,4
ENSG00000177674,AGTRAP,3,2,2
ENSG00000168710,AHCYL1,0,0,2
ENSG00000158467,AHCYL2,1,4,1
ENSG00000126705,AHDC1,4,3,4
ENSG00000135541,AHI1,0,1,2
ENSG00000124942,AHNAK,4,1,2
ENSG00000106546,AHR,0,0,0
ENSG00000063438,AHRR,4,4,0
ENSG00000100591,AHSA1,0,3,0
ENSG00000169877,AHSP,1,2,2
ENSG00000186063,AIDA,1,4,2
ENSG00000204472,AIF1,0,1,0
ENSG00000156709,AIFM1,0,1,4
ENSG00000042286,AIFM2,0,1,1
ENSG00000146416,AIG1,0,3,1
ENSG00000163568,AIM2,4,4,2
ENSG00000164022,AIMP1,0,4,2
ENSG00000106305,AIMP2,0,1,2
ENSG00000110711,AIP,2,0,4
ENSG00000160224,AIRE,0,4,3
ENSG00000196581,AJAP1,4,4,1
ENSG00000106992,AK1,3,3,1
ENSG00000147853,AK3,2,3,3
ENSG00000162433,AK4,2,1,1
ENSG00000154027,AK5,2,1,1
ENSG00000155085,AK9,2,1,4
ENSG00000121057,AKAP1,2,3,4
ENSG00000108599,AKAP10,4,0,2
ENSG00000023516,AKAP11,0,0,4
ENSG00000131016,AKAP12,4,2,0
ENSG00000170776,AKAP13,2,0,4
ENSG00000197976,AKAP17A,1,2,0
ENSG00000157654,PALM2AKAP2,0,4,3
ENSG00000179841,AKAP5,2,0,4
ENSG00000118507,AKAP7,4,2,2
ENSG00000105127,AKAP8,0,0,4
ENSG00000011243,AKAP8L,0,0,4
ENSG00000127914,AKAP9,1,1,4
ENSG00000166452,AKIP1,0,4,3
ENSG00000174574,AKIRIN1,0,0,1
ENSG00000135334,AKIRIN2,4,1,0
ENSG00000106948,AKNA,2,3,4
ENSG00000117448,AKR1A1,1,1,4
ENSG00000085662,AKR1B1,0,1,1
ENSG00000187134,AKR1C1,0,1,1
ENSG00000196139,AKR1C3,4,1,1
ENSG00000165568,AKR1E2,2,3,3
ENSG00000053371,AKR7A2,3,3,3
ENSG00000162482,AKR7A3,4,0,3
ENSG00000142208,AKT1,4,3,1
ENSG00000204673,AKT1S1,4,2,0
ENSG00000105221,AKT2,0,1,2
ENSG00000117020,AKT3,0,3,0
ENSG00000166971,AKTIP,1,4,4
ENSG00000148218,ALAD,3,2,0
ENSG00000023330,ALAS1,2,0,3
ENSG00000158578,ALAS2,1,2,0
ENSG00000170017,ALCAM,2,4,1
ENSG00000161618,ALDH16A1,3,4,1
ENSG00000059573,ALDH18A1,1,3,1
ENSG00000165092,ALDH1A1,4,2,3
ENSG00000137124,ALDH1B1,1,1,1
ENSG00000111275,ALDH2,1,4,3
ENSG00000072210,ALDH3A2,4,3,3
ENSG00000112294,ALDH5A1,4,4,4
ENSG00000164904,ALDH7A1,3,1,1
ENSG00000118514,ALDH8A1,3,1,1
ENSG00000143149,ALDH9A1,0,1,3
ENSG00000149925,ALDOA,2,0,4
ENSG00000109107,ALDOC,2,3,3
ENSG00000033011,ALG1,4,3,4
ENSG00000139133,ALG10,3,2,2
ENSG00000175548,ALG10B,3,2,1
ENSG00000182858,ALG12,2,1,4
ENSG00000101901,ALG13,4,3,2
ENSG00000172339,ALG14,1,0,2
ENSG00000119523,ALG2,0,0,0
ENSG00000214160,ALG3,1,0,0
ENSG00000120697,ALG5,2,2,2
ENSG00000088035,ALG6,2,4,0
ENSG00000159063,ALG8,0,2,3
ENSG00000086848,ALG9,1,0,4
ENSG00000189292,ALKAL2,4,1,2
ENSG00000100601,ALKBH1,2,0,4
ENSG00000189046,ALKBH2,2,4,4
ENSG00000166199,ALKBH3,1,1,1
ENSG00000160993,ALKBH4,2,4,3
ENSG00000091542,ALKBH5,1,0,2
ENSG00000239382,ALKBH6,1,3,1
ENSG00000125652,ALKBH7,3,0,4
ENSG00000137760,ALKBH8,2,2,4
ENSG00000116127,ALMS1,0,3,0
ENSG00000108839,ALOX12,2,1,1
ENSG00000012779,ALOX5,4,4,2
ENSG00000132965,ALOX5AP,1,0,4
ENSG00000073331,ALPK1,4,0,0
ENSG00000162551,ALPL,0,3,4
ENSG00000003393,ALS2,0,4,0
ENSG00000178038,ALS2CL,3,3,2
ENSG00000155749,FLACC1,1,2,4
ENSG00000180318,ALX1,2,2,2
ENSG00000156150,ALX3,3,2,3
ENSG00000052850,ALX4,4,1,1
ENSG00000110497,AMBRA1,4,1,2
ENSG00000123505,AMD1,4,3,2
ENSG00000139344,AMDHD1,3,0,1
ENSG00000162066,AMDHD2,3,0,0
ENSG00000184675,AMER1,3,4,0
ENSG00000159461,AMFR,4,3,3
ENSG00000181754,AMIGO1,2,3,2
ENSG00000139211,AMIGO2,0,4,3
ENSG00000101935,AMMECR1,4,0,4
ENSG00000144233,AMMECR1L,1,0,0
ENSG00000166126,AMN,3,1,3
ENSG00000151743,AMN1,4,4,3
ENSG00000126016,AMOT,3,2,0
ENSG00000116337,AMPD2,3,4,3
ENSG00000133805,AMPD3,2,4,4
ENSG00000145020,AMT,0,4,4
ENSG00000240038,AMY2B,2,0,1
ENSG00000196704,AMZ2,1,1,4
ENSG00000164162,ANAPC10,0,0,3
ENSG00000141552,ANAPC11,1,4,1
ENSG00000129055,ANAPC13,4,0,1
ENSG00000110200,ANAPC15,2,4,4
ENSG00000166295,ANAPC16,3,3,3
ENSG00000089053,ANAPC5,2,2,1
ENSG00000196510,ANAPC7,0,0,3
ENSG00000013523,ANGEL1,1,3,2
ENSG00000174606,ANGEL2,1,4,3
ENSG00000091879,ANGPT2,0,3,1
ENSG00000167772,ANGPTL4,0,0,1
ENSG00000130812,ANGPTL6,4,0,3
ENSG00000227059,ANHX,4,3,4
ENSG00000029534,ANK1,1,0,3
ENSG00000151150,ANK3,1,2,0
ENSG00000151687,ANKAR,2,4,3
ENSG00000166839,ANKDD1A,2,3,1
ENSG00000132623,ANKEF1,4,3,3
ENSG00000185722,ANKFY1,2,0,0
ENSG00000154122,ANKH,0,0,2
ENSG00000254996,ANKHD1-EIF4EBP3,4,0,3
ENSG00000170209,ANKK1,2,3,0
ENSG00000160117,ANKLE1,2,4,1
ENSG00000176915,ANKLE2,1,1,1
ENSG00000144504,ANKMY1,4,4,3
ENSG00000106524,ANKMY2,3,4,1
ENSG00000164331,ANKRA2,0,3,1
ENSG00000088448,ANKRD10,3,0,1
ENSG00000167522,ANKRD11,0,3,1
ENSG00000101745,ANKRD12,1,2,0
ENSG00000076513,ANKRD13A,4,4,4
ENSG00000198720,ANKRD13B,3,3,0
ENSG00000118454,ANKRD13C,2,0,2
ENSG00000172932,ANKRD13D,1,4,3
ENSG00000134461,ANKRD16,1,2,1
ENSG00000132466,ANKRD17,4,3,1
ENSG00000180071,ANKRD18A,0,2,0
ENSG00000163126,ANKRD23,0,0,3
ENSG00000107890,ANKRD26,1,0,4
ENSG00000105186,ANKRD27,3,1,0
ENSG00000206560,ANKRD28,2,3,1
ENSG00000145700,ANKRD31,1,1,0
ENSG00000164236,ANKRD33B,3,3,4
ENSG00000135976,ANKRD36,3,4,3
ENSG00000196912,ANKRD36B,2,4,4
ENSG00000174501,ANKRD36C,3,3,4
ENSG00000186352,ANKRD37,1,3,1
ENSG00000213337,ANKRD39,2,1,3
ENSG00000154945,ANKRD40,1,2,4
ENSG00000137494,ANKRD42,2,1,2
ENSG00000065413,ANKRD44,3,2,4
ENSG00000186106,ANKRD46,4,0,4
ENSG00000168876,ANKRD49,1,3,3
ENSG00000139645,ANKRD52,2,1,4
ENSG00000100124,ANKRD54,0,1,2
ENSG00000135299,ANKRD6,3,1,3
ENSG00000157999,ANKRD61,4,1,2
ENSG00000156381,ANKRD9,4,0,0
ENSG00000064999,ANKS1A,4,4,1
ENSG00000168096,ANKS3,0,3,3
ENSG00000165138,ANKS6,1,2,3
ENSG00000163516,ANKZF1,4,2,1
ENSG00000160746,ANO10,3,2,2
ENSG00000177119,ANO6,3,4,4
ENSG00000074855,ANO8,4,2,0
ENSG00000185101,ANO9,0,0,1
ENSG00000140350,ANP32A,3,3,2
ENSG00000136938,ANP32B,4,4,3
ENSG00000143401,ANP32E,4,2,0
ENSG00000166825,ANPEP,1,2,0
ENSG00000163297,ANTXR2,1,3,0
ENSG00000135046,ANXA1,4,3,4
ENSG00000122359,ANXA11,0,0,0
ENSG00000182718,ANXA2,1,3,3
ENSG00000177721,ANXA2R,4,3,1
ENSG00000138772,ANXA3,0,1,2
ENSG00000196975,ANXA4,0,1,2
ENSG00000164111,ANXA5,4,3,4
ENSG00000197043,ANXA6,2,2,3
ENSG00000138279,ANXA7,2,4,1
ENSG00000143412,ANXA9,1,4,2
ENSG00000136250,AOAH,3,1,4
ENSG00000131480,AOC2,1,0,4
ENSG00000131471,AOC3,2,3,4
ENSG00000138660,AP1AR,2,0,0
ENSG00000100280,AP1B1,4,3,0
ENSG00000166747,AP1G1,1,1,4
ENSG00000213983,AP1G2,1,1,4
ENSG00000072958,AP1M1,0,4,2
ENSG00000106367,AP1S1,2,0,4
ENSG00000182287,AP1S2,4,4,3
ENSG00000152056,AP1S3,2,1,1
ENSG00000196961,AP2A1,4,2,2
ENSG00000183020,AP2A2,4,1,0
ENSG00000006125,AP2B1,4,2,1
ENSG00000042753,AP2S1,3,2,2
ENSG00000132842,AP3B1,3,2,4
ENSG00000065000,AP3D1,3,4,3
ENSG00000185009,AP3M1,0,1,0
ENSG00000070718,AP3M2,0,2,3
ENSG00000177879,AP3S1,2,4,0
ENSG00000157823,AP3S2,2,2,2
ENSG00000134262,AP4B1,4,4,2
ENSG00000081014,AP4E1,2,1,1
ENSG00000221838,AP4M1,4,0,1
ENSG00000100478,AP4S1,2,3,2
ENSG00000254470,AP5B1,4,2,2
ENSG00000053770,AP5M1,2,0,1
ENSG00000125843,AP5S1,1,3,2
ENSG00000242802,AP5Z1,3,4,3
ENSG00000120868,APAF1,3,2,4
ENSG00000107282,APBA1,1,3,3
ENSG00000034053,APBA2,3,2,0
ENSG00000011132,APBA3,4,3,0
ENSG00000166313,APBB1,3,2,1
ENSG00000077420,APBB1IP,1,1,0
ENSG00000163697,APBB2,0,2,4
ENSG00000113108,APBB3,4,0,4
ENSG00000134982,APC,1,1,2
ENSG00000164062,APEH,3,1,0
ENSG00000100823,APEX1,3,0,0
ENSG00000169188,APEX2,4,4,3
ENSG00000117362,APH1A,1,2,3
ENSG00000138613,APH1B,3,1,3
ENSG00000166181,API5,1,1,0
ENSG00000149089,APIP,3,1,1
ENSG00000169621,APLF,1,0,3
ENSG00000105290,APLP1,3,3,3
ENSG00000084234,APLP2,4,2,2
ENSG00000101474,APMAP,3,2,0
ENSG00000118137,APOA1,1,0,0
ENSG00000110244,APOA4,2,4,3
ENSG00000124701,APOBEC2,4,1,3
ENSG00000128383,APOBEC3A,1,4,2
ENSG00000179750,APOBEC3B,3,3,3
ENSG00000244509,APOBEC3C,1,1,4
ENSG00000243811,APOBEC3D,1,2,1
ENSG00000128394,APOBEC3F,1,4,2
ENSG00000239713,APOBEC3G,2,0,3
ENSG00000100298,APOBEC3H,0,3,0
ENSG00000184730,APOBR,1,1,3
ENSG00000130208,APOC1,3,2,0
ENSG00000110245,APOC3,4,1,0
ENSG00000189058,APOD,1,4,2
ENSG00000130203,APOE,2,3,1
ENSG00000100342,APOL1,3,3,3
ENSG00000128335,APOL2,2,4,2
ENSG00000128284,APOL3,0,1,0
ENSG00000221963,APOL6,0,2,1
ENSG00000178878,APOLD1,3,0,4
ENSG00000204444,APOM,0,2,0
ENSG00000184831,APOO,0,1,3
ENSG00000155008,APOOL,0,2,4
ENSG00000256053,COA8,4,0,1
ENSG00000142192,APP,3,4,3
ENSG00000062725,APPBP2,4,1,0
ENSG00000136044,APPL2,1,4,2
ENSG00000198931,APRT,4,0,3
ENSG00000137074,APTX,1,0,4
ENSG00000240583,AQP1,3,1,0
ENSG00000178301,AQP11,1,1,4
ENSG00000165272,AQP3,3,2,4
ENSG00000161798,AQP5,3,1,2
ENSG00000103569,AQP9,1,3,4
ENSG00000169083,AR,2,3,0
ENSG00000078061,ARAF,1,3,2
ENSG00000186635,ARAP1,1,3,3
ENSG00000047365,ARAP2,3,0,4
ENSG00000120318,ARAP3,4,3,3
ENSG00000198576,ARC,2,1,0
ENSG00000109321,AREG,2,4,2
ENSG00000119682,AREL1,4,3,3
ENSG00000143761,ARF1,1,4,4
ENSG00000134287,ARF3,0,4,1
ENSG00000168374,ARF4,2,2,2
ENSG00000004059,ARF5,3,3,0
ENSG00000165527,ARF6,3,1,0
ENSG00000101199,ARFGAP1,3,3,4
ENSG00000149182,ARFGAP2,4,2,4
ENSG00000242247,ARFGAP3,1,1,0
ENSG00000066777,ARFGEF1,4,0,2
ENSG00000124198,ARFGEF2,2,3,0
ENSG00000164144,ARFIP1,3,4,3
ENSG00000132254,ARFIP2,0,0,1
ENSG00000101246,ARFRP1,4,0,3
ENSG00000118520,ARG1,0,2,0
ENSG00000081181,ARG2,2,0,3
ENSG00000186103,ARGFX,1,1,3
ENSG00000134884,ARGLU1,4,3,3
ENSG00000175220,ARHGAP1,1,2,4
ENSG00000071205,ARHGAP10,3,0,3
ENSG00000198826,ARHGAP11A,1,3,2
ENSG00000285077,ARHGAP11B,1,3,2
ENSG00000165322,ARHGAP12,1,1,1
ENSG00000075884,ARHGAP15,0,2,0
ENSG00000140750,ARHGAP17,0,4,4
ENSG00000146376,ARHGAP18,3,0,2
ENSG00000213390,ARHGAP19,4,2,2
ENSG00000107863,ARHGAP21,1,4,0
ENSG00000138639,ARHGAP24,0,3,0
ENSG00000163219,ARHGAP25,1,2,0
ENSG00000145819,ARHGAP26,1,1,4
ENSG00000159314,ARHGAP27,0,4,3
ENSG00000186517,ARHGAP30,4,3,3
ENSG00000031081,ARHGAP31,1,1,1
ENSG00000134909,ARHGAP32,2,0,2
ENSG00000004777,ARHGAP33,0,1,2
ENSG00000180448,ARHGAP45,0,0,2
ENSG00000100852,ARHGAP5,3,2,2
ENSG00000047648,ARHGAP6,2,3,2
ENSG00000123329,ARHGAP9,2,2,0
ENSG00000141522,ARHGDIA,2,0,4
ENSG00000111348,ARHGDIB,0,0,0
ENSG00000076928,ARHGEF1,2,0,0
ENSG00000104728,ARHGEF10,2,0,4
ENSG00000132694,ARHGEF11,4,2,1
ENSG00000196914,ARHGEF12,0,4,3
ENSG00000104880,ARHGEF18,1,2,4
ENSG00000142632,ARHGEF19,1,4,2
ENSG00000116584,ARHGEF2,4,4,3
ENSG00000163947,ARHGEF3,0,2,0
ENSG00000137135,ARHGEF39,2,2,2
ENSG00000165801,ARHGEF40,3,1,3
ENSG00000050327,ARHGEF5,3,4,1
ENSG00000129675,ARHGEF6,1,4,0
ENSG00000102606,ARHGEF7,0,1,0
ENSG00000131089,ARHGEF9,2,4,0
ENSG00000117713,ARID1A,1,1,2
ENSG00000049618,ARID1B,2,2,1
ENSG00000189079,ARID2,3,1,3
ENSG00000116017,ARID3A,0,0,2
ENSG00000179361,ARID3B,0,2,3
ENSG00000205143,ARID3C,1,4,0
ENSG00000032219,ARID4A,2,0,4
ENSG00000054267,ARID4B,4,4,0
ENSG00000196843,ARID5A,1,3,1
ENSG00000150347,ARID5B,1,0,1
ENSG00000166233,ARIH1,3,0,3
ENSG00000177479,ARIH2,1,2,3
ENSG00000221883,ARIH2OS,2,4,3
ENSG00000120805,ARL1,0,4,3
ENSG00000175414,ARL10,1,4,1
ENSG00000174225,ARL13A,3,2,3
ENSG00000169379,ARL13B,3,2,0
ENSG00000179674,ARL14,2,1,2
ENSG00000152219,ARL14EP,0,2,4
ENSG00000185305,ARL15,3,2,1
ENSG00000214087,ARL16,2,3,3
ENSG00000185829,ARL17A,0,0,2
ENSG00000228696,ARL17B,1,2,3
ENSG00000102931,ARL2BP,1,1,2
ENSG00000138175,ARL3,1,2,3
ENSG00000122644,ARL4A,4,1,0
ENSG00000188042,ARL4C,1,0,1
ENSG00000175906,ARL4D,2,2,1
ENSG00000162980,ARL5A,0,1,2
ENSG00000165997,ARL5B,2,0,0
ENSG00000113966,ARL6,1,4,2
ENSG00000170540,ARL6IP1,2,0,1
ENSG00000182196,ARL6IP4,3,1,2
ENSG00000144746,ARL6IP5,0,1,1
ENSG00000177917,ARL6IP6,4,1,3
ENSG00000143862,ARL8A,2,2,4
ENSG00000134108,ARL8B,4,1,0
ENSG00000196503,ARL9,2,4,3
ENSG00000104442,ARMC1,1,4,0
ENSG00000170632,ARMC10,4,3,1
ENSG00000157343,ARMC12,2,0,0
ENSG00000118690,ARMC2,4,3,2
ENSG00000140691,ARMC5,3,2,0
ENSG00000105676,ARMC6,1,2,3
ENSG00000125449,ARMC7,4,4,3
ENSG00000114098,ARMC8,3,2,1
ENSG00000184867,ARMCX2,1,3,2
ENSG00000102401,ARMCX3,0,3,0
ENSG00000196440,ARMCX4,3,3,3
ENSG00000125962,ARMCX5,2,1,2
ENSG00000198960,ARMCX6,3,2,0
ENSG00000198520,ARMH1,2,4,4
ENSG00000260286,ARMH2,0,1,0
ENSG00000120029,ARMH3,0,0,1
ENSG00000146476,ARMT1,0,3,1
