symbol,category,source,present_in_library
ZAP70,functional_screen_hit,"Shifrut et al. Cell 2018 (PMID 30449619) TCR-signaling positive regulator, negative rank 299, main text",yes
CD28,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa positive regulator of IL-2 and IFNG, proximal TCR complex",yes
TBX21,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa positive regulator, IFNG-selective (T-bet)",yes
GATA3,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa hit, promotes type II differentiation and reduced IFNG",yes
IL1R1,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa positive IFNG regulator",yes
FOXQ1,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa positive regulator of IL-2/IFNG",yes
LHX6,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa positive regulator of IL-2/IFNG",yes
PIK3AP1,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa positive regulator of IL-2/IFNG",yes
OTUD7B,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) positive regulator of proximal TCR signaling, screen hit",yes
TRAF3IP2,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) IFNG regulator, screen hit",yes
TNFRSF1A,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa IFNG regulator, TNFRSF member",yes
TNFRSF1B,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa IFNG regulator, TNFRSF member",yes
LTBR,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa IFNG regulator, TNFRSF member",no
CD27,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRa IFNG regulator, TNFRSF member",yes
MAP4K1,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) negative TCR-signaling regulator, screen hit",yes
SLA2,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) negative TCR-signaling regulator, screen hit",yes
MALT1,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRi hit required for IFNG production",yes
BCL10,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRi hit required for IFNG production",yes
TRAF6,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRi stimulation-signaling circuit hit",yes
MAP3K7,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) CRISPRi stimulation-signaling circuit hit (TAK1)",no
IKZF3,functional_screen_hit,"Schmidt et al. Science 2022 (PMID 35113687) negative regulator screen hit (Aiolos)",yes
